Richard,Carapaz,,,,,,5.0,ROULEUR
Ben,Healy,,,,,,5.0,ROULEUR
Noah,Hobbs,,,,,,5.0,ROULEUR
Luke,Lamperti,,,,,,5.0,ROULEUR
Michael,Leonard,,,,,,5.0,ROULEUR
Alastair,Mackellar,,,,,,5.0,ROULEUR
Madis,Mihkels,,,,,,5.0,ROULEUR
Lukas,Nerurkar,,,,,,5.0,ROULEUR
Neilson,Powless,,,,,,5.0,ROULEUR
Sean,Quinn,,,,,,5.0,ROULEUR
Darren,Rafferty,,,,,,5.0,ROULEUR
Archie,Ryan,,,,,,5.0,ROULEUR
Matthias,Schwarzbacher,,,,,,5.0,ROULEUR
James,Shaw,,,,,,5.0,ROULEUR
Colby,Simmons,,,,,,5.0,ROULEUR
Georg,Steinhauser,,,,,,5.0,ROULEUR
Harry,Sweeny,,,,,,5.0,ROULEUR
Michael,Valgren,,,,,,5.0,ROULEUR
Max,Walker,,,,,,5.0,ROULEUR
Cyril,Barthe,,,,,,5.0,ROULEUR
Clément,Berthet,,,,,,5.0,ROULEUR
Lewis,Bower,,,,,,5.0,ROULEUR
Rémi,Cavagna,,,,,,5.0,ROULEUR
Ewen,Costiou,,,,,,5.0,ROULEUR
Maxime,Decomble,,,,,,5.0,ROULEUR
Tom,Donnenwirth,,,,,,5.0,ROULEUR
David,Gaudu,,,,,,5.0,ROULEUR
Kevin,Geniets,,,,,,5.0,ROULEUR
Lorenzo,Germani,,,,,,5.0,ROULEUR
Romain,Grégoire,,,,,,5.0,ROULEUR
Thibaud,Gruel,,,,,,5.0,ROULEUR
Axel,Huens,,,,,,5.0,ROULEUR
Johan,Jacobs,,,,,,5.0,ROULEUR
Josh,Kench,,,,,,5.0,ROULEUR
Valentin,Madouas,,,,,,5.0,ROULEUR
Guillaume,Martin,,,,,,5.0,ROULEUR
Matteo,Milan,,,,,,5.0,ROULEUR
Rudy,Molard,,,,,,5.0,ROULEUR
Quentin,Pacher,,,,,,5.0,ROULEUR
Enzo,Paleni,,,,,,5.0,ROULEUR
Paul,Penhoët,,,,,,5.0,ROULEUR
Rémy,Rochas,,,,,,5.0,ROULEUR
Brieuc,Rolland,,,,,,5.0,ROULEUR
Clément,Russo,,,,,,5.0,ROULEUR
Bastien,Tronchon,,,,,,5.0,ROULEUR
Thymen,Arensman,,,,,,5.0,ROULEUR
Andrew,August,,,,,,5.0,ROULEUR
Egan,Bernal,,,,,,5.0,ROULEUR
Tobias,Foss,,,,,,5.0,ROULEUR
Filippo,Ganna,,,,,,5.0,ROULEUR
Dorian,Godon,,,,,,5.0,ROULEUR
Jack,Haig,,,,,,5.0,ROULEUR
Lucas,Hamilton,,,,,,5.0,ROULEUR
Kim,Heiduk,,,,,,5.0,ROULEUR
Bob,Jungels,,,,,,5.0,ROULEUR
Michał,Kwiatkowski,,,,,,5.0,ROULEUR
Victor,Langellotti,,,,,,5.0,ROULEUR
Axel,Laurance,,,,,,5.0,ROULEUR
Oscar,Onley,,,,,,5.0,ROULEUR
